,LineId,Date,Time,Pid,Tid,Level,Component,Content
0,1,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide
1,2,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show
2,3,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false
3,4,03-17,16:13:38.887,2227,2227,D,TextView,visible is system.ownerinfo.show
4,5,03-17,16:13:38.888,2227,2227,D,TextView,mVisiblity.getValue is false
5,6,03-17,16:13:38.907,1702,10454,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
6,7,03-17,16:13:38.915,1702,3693,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide
7,8,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0"
8,9,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
9,10,03-17,16:13:38.935,1702,3697,W,ActivityManager,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output
10,11,03-17,16:13:38.954,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)"
11,12,03-17,16:13:38.994,1702,27365,I,WindowManager,Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>
12,13,03-17,16:13:39.006,1702,2639,I,WindowManager,Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136
13,14,03-17,16:13:39.011,1702,2639,D,PowerManagerService,"userActivityNoUpdateLocked: eventTime=261843648, event=0, flags=0x1, uid=1000"
14,15,03-17,16:13:39.069,1702,1815,I,WindowManager,"orientation change is complete, call stopFreezingDisplayLocked"
15,16,03-17,16:13:39.070,1702,1815,I,WindowManager,Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity}
16,17,03-17,16:13:39.079,1702,1815,D,WindowManager,startAnimation end
17,18,03-17,16:13:39.080,1702,1815,D,PowerManagerService,"release:lock=226887582, flg=0x0, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=1000, pid=1702"
18,19,03-17,16:13:39.080,1702,1815,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
19,20,03-17,16:13:39.207,1702,1815,I,WindowManager,"rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED"
20,21,03-17,16:13:39.207,1702,1815,I,WindowManager,"Application requested orientation 1, got rotation 0 which has compatible metrics"
21,22,03-17,16:13:40.146,1702,2555,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
22,23,03-17,16:13:40.190,1702,2250,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
23,24,03-17,16:13:40.308,2626,23469,I,PhoneInterfaceManager,shouldBlockLocation  ret:false
24,25,03-17,16:13:40.309,1702,2395,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
25,26,03-17,16:13:40.319,1702,17630,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
26,27,03-17,16:13:40.322,2626,2809,W,PhoneInterfaceManager,shouldBlockLocation running ...
27,28,03-17,16:13:40.322,2626,2809,I,PhoneInterfaceManager,shouldBlockLocation  ret:false
28,29,03-17,16:13:40.324,1702,2113,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
29,30,03-17,16:13:40.334,1702,27357,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
30,31,03-17,16:13:41.481,1702,27357,D,PowerManagerService,"Releasing suspend blocker ""PowerManagerService.WakeLocks""."
31,32,03-17,16:13:41.614,1702,1820,I,DisplayPowerController,HBM brightnessIn =38
32,33,03-17,16:13:41.614,1702,1820,I,DisplayPowerController,HBM brightnessOut =38
33,34,03-17,16:13:41.614,1702,1820,D,DisplayPowerController,"Animating brightness: target=38, rate=200"
34,35,03-17,16:13:45.310,2227,2227,I,PhoneStatusBar,suspendAutohide
35,36,03-17,16:13:45.316,1702,14640,D,WindowManager,interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down true canceled false
36,37,03-17,16:13:45.318,1702,2105,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
37,38,03-17,16:13:45.358,2227,2227,I,PhoneStatusBar,resumeSuspendedAutohide
38,39,03-17,16:13:45.362,1702,3137,D,WindowManager,"interceptKeyBeforeQueueing: key 4 , result : 1"
39,40,03-17,16:13:45.382,1702,3697,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
40,41,03-17,16:13:45.402,1702,3694,V,WindowManager,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide
41,42,03-17,16:13:45.405,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=508 mask=ffffffff oldVal=40000500 newVal=508 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)"
42,43,03-17,16:13:45.408,2227,2227,I,PhoneStatusBar,"notifyUiVisibilityChanged:vis=0x508, SystemUiVisibility=0x508"
43,44,03-17,16:13:45.466,1702,17632,W,ActivityManager,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token
44,45,03-17,16:13:45.512,1702,2639,V,WindowManager,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide
