,LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content
0,1,-,1117838570,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.42.50.675872,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
1,2,-,1117838573,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.42.53.276129,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
2,3,-,1117838976,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.49.36.156884,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
3,4,-,1117842440,2005.06.03,R23-M0-NE-C:J05-U01,2005-06-03-16.47.20.730545,R23-M0-NE-C:J05-U01,RAS,KERNEL,INFO,63543 double-hummer alignment exceptions
4,5,-,1117842974,2005.06.03,R24-M0-N1-C:J13-U11,2005-06-03-16.56.14.254137,R24-M0-N1-C:J13-U11,RAS,KERNEL,INFO,162 double-hummer alignment exceptions
5,6,-,1117843015,2005.06.03,R21-M1-N6-C:J08-U11,2005-06-03-16.56.55.309974,R21-M1-N6-C:J08-U11,RAS,KERNEL,INFO,141 double-hummer alignment exceptions
6,7,-,1117848119,2005.06.03,R16-M1-N2-C:J17-U01,2005-06-03-18.21.59.871925,R16-M1-N2-C:J17-U01,RAS,KERNEL,INFO,"CE sym 2, at 0x0b85eee0, mask 0x05"
7,8,APPREAD,1117869872,2005.06.04,R04-M1-N4-I:J18-U11,2005-06-04-00.24.32.432192,R04-M1-N4-I:J18-U11,RAS,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569
8,9,APPREAD,1117869876,2005.06.04,R27-M1-N4-I:J18-U01,2005-06-04-00.24.36.222560,R27-M1-N4-I:J18-U01,RAS,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370
9,10,-,1117955392,2005.06.05,R24-M1-N8-C:J09-U11,2005-06-05-00.09.52.516674,R24-M1-N8-C:J09-U11,RAS,KERNEL,INFO,generating core.862
10,11,-,1117957045,2005.06.05,R20-M1-N8-C:J04-U01,2005-06-05-00.37.25.012681,R20-M1-N8-C:J04-U01,RAS,KERNEL,INFO,generating core.775
11,12,-,1117959501,2005.06.05,R24-M0-NE-C:J14-U11,2005-06-05-01.18.21.778604,R24-M0-NE-C:J14-U11,RAS,KERNEL,INFO,generating core.3276
12,13,-,1117959513,2005.06.05,R21-M1-N2-C:J11-U01,2005-06-05-01.18.33.830595,R21-M1-N2-C:J11-U01,RAS,KERNEL,INFO,generating core.1717
13,14,-,1117959563,2005.06.05,R24-M0-N8-C:J04-U11,2005-06-05-01.19.23.822135,R24-M0-N8-C:J04-U11,RAS,KERNEL,INFO,generating core.3919
14,15,-,1117973786,2005.06.05,R36-M0-NA-C:J06-U01,2005-06-05-05.16.26.686603,R36-M0-NA-C:J06-U01,RAS,KERNEL,INFO,generating core.1414
15,16,-,1117974206,2005.06.05,R22-M0-ND-C:J10-U11,2005-06-05-05.23.26.239153,R22-M0-ND-C:J10-U11,RAS,KERNEL,INFO,generating core.201
16,17,-,1117976658,2005.06.05,R36-M1-N8-C:J17-U01,2005-06-05-06.04.18.406158,R36-M1-N8-C:J17-U01,RAS,KERNEL,INFO,generating core.7828
17,18,-,1117979227,2005.06.05,R01-M1-N7-C:J04-U11,2005-06-05-06.47.07.157021,R01-M1-N7-C:J04-U11,RAS,KERNEL,INFO,generating core.8275
18,19,-,1117982609,2005.06.05,R35-M1-NE-C:J05-U01,2005-06-05-07.43.29.979844,R35-M1-NE-C:J05-U01,RAS,KERNEL,INFO,generating core.4183
19,20,-,1117984130,2005.06.05,R37-M1-NE-C:J13-U01,2005-06-05-08.08.50.547117,R37-M1-NE-C:J13-U01,RAS,KERNEL,INFO,generating core.4245
20,21,-,1117984246,2005.06.05,R30-M1-N3-C:J02-U01,2005-06-05-08.10.46.344235,R30-M1-N3-C:J02-U01,RAS,KERNEL,FATAL,force load/store alignment...............0
21,22,-,1117985401,2005.06.05,R34-M1-NE-C:J02-U01,2005-06-05-08.30.01.873693,R34-M1-NE-C:J02-U01,RAS,KERNEL,INFO,generating core.6471
22,23,-,1117988416,2005.06.05,R30-M1-N3-C:J10-U01,2005-06-05-09.20.16.681318,R30-M1-N3-C:J10-U01,RAS,KERNEL,INFO,generating core.7457
23,24,-,1117988443,2005.06.05,R32-M1-N5-C:J17-U01,2005-06-05-09.20.43.944594,R32-M1-N5-C:J17-U01,RAS,KERNEL,INFO,generating core.6896
24,25,-,1117989508,2005.06.05,R36-M0-NA-C:J17-U01,2005-06-05-09.38.28.957918,R36-M0-NA-C:J17-U01,RAS,KERNEL,INFO,generating core.1172
25,26,-,1117989530,2005.06.05,R33-M0-N6-C:J08-U11,2005-06-05-09.38.50.430385,R33-M0-N6-C:J08-U11,RAS,KERNEL,INFO,generating core.2286
26,27,-,1117989577,2005.06.05,R30-M0-ND-C:J07-U01,2005-06-05-09.39.37.590924,R30-M0-ND-C:J07-U01,RAS,KERNEL,INFO,generating core.786
27,28,-,1117989594,2005.06.05,R35-M0-N5-C:J17-U11,2005-06-05-09.39.54.210760,R35-M0-N5-C:J17-U11,RAS,KERNEL,INFO,generating core.2680
28,29,-,1117989601,2005.06.05,R32-M0-N2-C:J15-U01,2005-06-05-09.40.01.191177,R32-M0-N2-C:J15-U01,RAS,KERNEL,INFO,generating core.1524
29,30,-,1117989617,2005.06.05,R35-M1-ND-C:J10-U11,2005-06-05-09.40.17.352982,R35-M1-ND-C:J10-U11,RAS,KERNEL,INFO,generating core.4937
30,31,-,1117990886,2005.06.05,R36-M1-ND-C:J13-U01,2005-06-05-10.01.26.040379,R36-M1-ND-C:J13-U01,RAS,KERNEL,INFO,generating core.6801
31,32,-,1117990980,2005.06.05,R34-M0-ND-C:J03-U01,2005-06-05-10.03.00.195528,R34-M0-ND-C:J03-U01,RAS,KERNEL,INFO,generating core.851
32,33,-,1117991006,2005.06.05,R32-M0-N9-C:J17-U01,2005-06-05-10.03.26.884113,R32-M0-N9-C:J17-U01,RAS,KERNEL,INFO,generating core.1744
33,34,-,1117991046,2005.06.05,R30-M0-N0-C:J17-U01,2005-06-05-10.04.06.326828,R30-M0-N0-C:J17-U01,RAS,KERNEL,INFO,generating core.1588
34,35,-,1117992519,2005.06.05,R37-M1-N3-C:J05-U11,2005-06-05-10.28.39.717587,R37-M1-N3-C:J05-U11,RAS,KERNEL,INFO,generating core.5307
35,36,-,1118070518,2005.06.06,R01-M1-ND-C:J15-U11,2005-06-06-08.08.38.414458,R01-M1-ND-C:J15-U11,RAS,KERNEL,INFO,"CE sym 5, at 0x11042a80, mask 0x04"
36,37,-,1118079221,2005.06.06,R02-M1-N0-C:J12-U11,2005-06-06-10.33.41.093251,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
37,38,-,1118079403,2005.06.06,R02-M1-N0-C:J12-U11,2005-06-06-10.36.43.705821,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
38,39,-,1118080480,2005.06.06,R02-M1-N0-C:J12-U11,2005-06-06-10.54.40.382678,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
39,40,-,1118080909,2005.06.06,R02-M1-N0-C:J12-U11,2005-06-06-11.01.49.223879,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
40,41,-,1118081467,2005.06.06,R02-M1-N0-C:J12-U11,2005-06-06-11.11.07.787886,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
41,42,-,1118112603,2005.06.06,R22-M0-N0-C:J08-U11,2005-06-06-19.50.03.669394,R22-M0-N0-C:J08-U11,RAS,KERNEL,INFO,generating core.430
42,43,-,1118112700,2005.06.06,R23-M0-N0-I:J18-U01,2005-06-06-19.51.40.376079,R23-M0-N0-I:J18-U01,RAS,KERNEL,INFO,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff
43,44,-,1118114656,2005.06.06,R24-M1-N9-C:J15-U01,2005-06-06-20.24.16.345770,R24-M1-N9-C:J15-U01,RAS,KERNEL,INFO,generating core.976
44,45,-,1118149569,2005.06.07,R21-M0-NB-C:J06-U01,2005-06-07-06.06.09.288228,R21-M0-NB-C:J06-U01,RAS,KERNEL,INFO,generating core.2690
45,46,-,1118149783,2005.06.07,R20-M1-N5-C:J06-U01,2005-06-07-06.09.43.355329,R20-M1-N5-C:J06-U01,RAS,KERNEL,INFO,generating core.418
