,LineId,Date,Time,Pid,Level,Component,Content
374,375,081110,103036,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_5178539130945718870 is added to invalidSet of 10.251.107.19:50010
1668,1669,081111,073013,23372,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_871974742726663441 terminating
1680,1681,081111,073525,23203,INFO,dfs.DataNode$PacketResponder,Received block blk_7194943883245628915 of size 67108864 from /10.251.71.193
1307,1308,081111,040658,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.105.189:50010 is added to blk_4812792845864526586 size 67108864
112,113,081109,233108,3872,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-54240672253074715 terminating
465,466,081110,103558,19,INFO,dfs.FSDataset,Deleting block blk_561417755647618727 file /mnt/hadoop/dfs/data/current/subdir4/blk_561417755647618727
533,534,081110,110036,9429,INFO,dfs.DataNode$PacketResponder,Received block blk_-8049908920306758342 of size 67108864 from /10.251.73.220
1343,1344,081111,043106,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.193:50010 is added to blk_4577632468651859430 size 67108864
412,413,081110,103137,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_-5005618994659797504 is added to invalidSet of 10.251.125.193:50010
1640,1641,081111,071713,23240,INFO,dfs.DataNode$PacketResponder,Received block blk_-1236077201457689973 of size 67108864 from /10.251.35.1
189,190,081110,010851,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.199.86:50010 is added to blk_-9181958042427679309 size 67108864
1207,1208,081111,030017,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.26.177:50010 is added to blk_-6338549285508312302 size 3530010
169,170,081110,001818,4837,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-1148756466197125339 terminating
1332,1333,081111,042129,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.199.86:50010 is added to blk_4330492872922862223 size 67108864
795,796,081110,183200,13,INFO,dfs.DataBlockScanner,Verification succeeded for blk_1584196996810164915
1549,1550,081111,064011,22583,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_1077394056781488 terminating
1516,1517,081111,061857,17075,INFO,dfs.DataNode$PacketResponder,Received block blk_3961831045048378097 of size 67108864 from /10.251.39.160
721,722,081110,144201,12384,INFO,dfs.DataNode$PacketResponder,Received block blk_7227035060836018780 of size 67108864 from /10.250.5.237
1784,1785,081111,082528,24365,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_2096199637324483321 terminating
882,883,081110,210549,19,INFO,dfs.FSDataset,Deleting block blk_6085442148007558065 file /mnt/hadoop/dfs/data/current/subdir63/blk_6085442148007558065
1996,1997,081111,101735,26595,INFO,dfs.DataNode$PacketResponder,Received block blk_-5815145248455404269 of size 67108864 from /10.251.121.224
893,894,081110,210710,19,INFO,dfs.FSDataset,Deleting block blk_6445339027653789144 file /mnt/hadoop/dfs/data/current/subdir16/blk_6445339027653789144
1503,1504,081111,060154,21461,INFO,dfs.DataNode$DataXceiver,Receiving block blk_6413965758113058023 src: /10.251.199.150:45184 dest: /10.251.199.150:50010
1519,1520,081111,061921,21913,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_8854625173826438305 terminating
324,325,081110,080847,8088,WARN,dfs.DataNode$DataXceiver,10.251.26.8:50010:Got exception while serving blk_-8522942048313632858 to /10.251.31.85:
294,295,081110,024834,6371,INFO,dfs.DataNode$DataXceiver,10.251.126.227:50010 Served block blk_-8306714721294235181 to /10.251.126.227
1566,1567,081111,065217,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_5505696082121135363 is added to invalidSet of 10.251.214.130:50010
979,980,081110,220312,15681,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3187293586306086277 src: /10.251.35.1:50933 dest: /10.251.35.1:50010
