,LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content
0,1,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:00.272,25746,INFO,nova.osapi_compute.wsgi.server,req-9bc36dd9-91c5-4314-898a-47625eb93b09 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2577181"
1,2,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:01.813,25746,INFO,nova.osapi_compute.wsgi.server,req-2a3dc421-6604-42a7-9390-a18dc824d5d6 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580249"
2,3,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:03.091,25746,INFO,nova.osapi_compute.wsgi.server,req-939eb332-c1c1-4e67-99b8-8695f8f1980a 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2727931"
3,4,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:04.500,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Started (Lifecycle Event)
4,5,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:04.562,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Paused (Lifecycle Event)
5,6,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:04.693,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] During sync_power_state the instance has a pending task (spawning). Skip.
6,7,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:05.060,25746,INFO,nova.osapi_compute.wsgi.server,req-31826992-8435-4e03-bc09-ba9cca2d8ef9 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2661140"
7,8,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:06.321,25746,INFO,nova.osapi_compute.wsgi.server,req-7160b3e7-676b-498f-b147-7759d8eaea76 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2563808"
8,9,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:07.864,25746,INFO,nova.osapi_compute.wsgi.server,req-546e2e6a-b85e-434a-91dc-53a0a9124a4f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2733629"
9,10,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:09.692,25746,INFO,nova.osapi_compute.wsgi.server,req-e1da47c6-0f46-4ce8-940c-05397a5fab9e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2777061"
10,11,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:10.279,25743,INFO,nova.api.openstack.compute.server_external_events,req-ab451068-9756-4ad9-9d18-5ceaa6424627 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,Creating event network-vif-plugged:e3871ffd-5cd5-4287-bddd-3529f7b59515 for instance b9000564-fe1a-409b-b8cc-1e88b294cd1d
11,12,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.417,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Resumed (Lifecycle Event)
12,13,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.424,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage"
13,14,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.470,2931,INFO,nova.compute.manager,req-8e64797b-fb99-4c8a-87e5-9a8de673412f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 19.84 seconds to build instance.
14,15,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.600,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
15,16,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:11.243,25746,INFO,nova.osapi_compute.wsgi.server,req-22455aab-13cf-4045-92e8-65371ef51485 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2603891"
16,17,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.265,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"Total usable vcpus: 16, total allocated vcpus: 1"
17,18,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.329,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us
18,19,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:15.142,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage"
19,20,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:15.318,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
20,21,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.441,25793,INFO,nova.metadata.wsgi.server,req-ed0b5830-26a8-4484-8164-feaebe737259 - - - - -,"10.11.21.122,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.2368760"
21,22,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:17.754,2931,INFO,nova.virt.libvirt.driver,-,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Instance destroyed successfully.
22,23,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:18.450,2931,INFO,nova.virt.libvirt.driver,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deleting instance files /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del
23,24,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:18.451,2931,INFO,nova.virt.libvirt.driver,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deletion of /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del complete
24,25,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:18.571,2931,INFO,nova.compute.manager,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 1.03 seconds to destroy the instance on the hypervisor.
25,26,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:18.994,25746,INFO,nova.osapi_compute.wsgi.server,req-1dd5c6bd-1bda-4e6d-b896-80dc15ab8c56 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1874 time: 0.2161739"
26,27,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:20.106,25746,INFO,nova.osapi_compute.wsgi.server,req-750a3ab2-0fba-499a-bad0-f8584e777993 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 211 time: 0.1072969"
27,28,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:20.349,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
28,29,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:21.067,25746,INFO,nova.api.openstack.wsgi,req-0b851395-2895-44b9-8265-a27d0bb52910 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,HTTP exception thrown: No instances found for any event
29,30,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:30.788,25746,INFO,nova.osapi_compute.wsgi.server,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""POST /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers HTTP/1.1"" status: 202 len: 733 time: 0.6686139"
30,31,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:31.092,2931,INFO,nova.compute.claims,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU"
31,32,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:31.093,2931,INFO,nova.compute.claims,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] memory limit: 96258.00 MB, free: 95746.00 MB"
32,33,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:31.095,2931,INFO,nova.compute.claims,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Total vcpu: 16 VCPU, used: 0.00 VCPU"
33,34,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:31.127,2931,INFO,nova.compute.claims,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Claim successful
