,LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate
0,1,344518,node-246,unix.hw,state_change.unavailable,1084270955,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
1,2,438190,node-228,unix.hw,state_change.unavailable,1097194780,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
2,3,401569,node-169,unix.hw,state_change.unavailable,1142550406,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
3,4,401855,node-187,unix.hw,state_change.unavailable,1142553646,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
4,5,460773,node-199,unix.hw,state_change.unavailable,1145552100,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
5,6,2570772,node-124,action,start,1074123150,1,clusterAddMember  (command 1900),E8,clusterAddMember (command <*>)
6,7,2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),E36,risBoot (command <*>)
7,8,2576195,node-181,action,start,1074178628,1,boot  (command 1910),E4,boot (command <*>)
8,9,2599298,node-198,action,start,1074297419,1,boot  (command 1978),E4,boot (command <*>)
9,10,2600743,node-57,action,start,1074298084,1,boot  (command 1967),E4,boot (command <*>)
10,11,2601401,node-184,action,start,1074298390,1,wait  (command 1975),E45,wait (command <*>)
11,12,2612635,node-88,action,start,1074535847,1,boot  (command 1999),E4,boot (command <*>)
12,13,2600616,node-152,action,start,1074298056,1,boot  (command 1973),E4,boot (command <*>)
13,14,2601430,node-159,action,start,1074298398,1,wait  (command 1973),E45,wait (command <*>)
14,15,41108,node-93,action,start,1076538873,1,boot  (command 2152),E4,boot (command <*>)
15,16,39962,node-134,action,start,1076538533,1,wait  (command 2154),E45,wait (command <*>)
16,17,76306,node-57,action,start,1077204892,1,halt  (command 2221),E19,halt (command <*>)
17,18,75026,node-119,action,start,1077172842,1,wait  (command 2217),E45,wait (command <*>)
18,19,66410,node-226,action,start,1076874863,1,wait  (command 2201),E45,wait (command <*>)
19,20,61193,node-25,action,start,1076865929,1,boot  (command 2183),E4,boot (command <*>)
20,21,93083,node-242,action,start,1077645240,1,boot  (command 2257),E4,boot (command <*>)
21,22,138728,node-25,action,start,1077810165,1,boot  (command 2316),E4,boot (command <*>)
22,23,160960,node-3,action,start,1077875823,1,boot  (command 2392),E4,boot (command <*>)
23,24,163146,node-206,action,start,1077878060,1,boot  (command 2417),E4,boot (command <*>)
24,25,165793,node-89,action,start,1077881713,1,wait  (command 2424),E45,wait (command <*>)
25,26,177730,node-200,action,start,1077894469,1,wait  (command 2449),E45,wait (command <*>)
26,27,186693,node-125,action,start,1077903223,1,wait  (command 2468),E45,wait (command <*>)
27,28,201811,node-76,action,start,1078162366,1,wait  (command 2484),E45,wait (command <*>)
28,29,264003,node-176,action,start,1079249218,1,boot  (command 2625),E4,boot (command <*>)
29,30,256981,node-58,action,start,1079070194,1,wait  (command 2607),E45,wait (command <*>)
30,31,256874,node-90,action,start,1079070177,1,boot  (command 2616),E4,boot (command <*>)
31,32,256223,node-82,action,start,1079070000,1,boot  (command 2616),E4,boot (command <*>)
32,33,254534,node-129,action,start,1079069377,1,boot  (command 2602),E4,boot (command <*>)
33,34,247848,node-157,action,start,1079049069,1,wait  (command 2582),E45,wait (command <*>)
34,35,245027,node-175,action,start,1079048210,1,boot  (command 2584),E4,boot (command <*>)
35,36,235608,node-34,action,start,1079014799,1,boot  (command 2550),E4,boot (command <*>)
36,37,233507,node-227,action,start,1079012648,1,boot  (command 2538),E4,boot (command <*>)
37,38,276581,node-120,action,start,1079617260,1,wait  (command 2682),E45,wait (command <*>)
38,39,307999,node-112,action,start,1082038630,1,wait  (command 2823),E45,wait (command <*>)
39,40,309387,node-27,action,start,1082039069,1,wait  (command 2817),E45,wait (command <*>)
40,41,362348,node-220,action,start,1085071596,1,boot  (command 2960),E4,boot (command <*>)
41,42,360562,node-229,action,start,1085071024,1,wait  (command 2963),E45,wait (command <*>)
42,43,402485,node-205,action,start,1089897107,1,wait  (command 3087),E45,wait (command <*>)
43,44,402097,node-73,action,start,1089897051,1,wait  (command 3079),E45,wait (command <*>)
44,45,429535,node-124,action,start,1095347018,1,wait  (command 3141),E45,wait (command <*>)
45,46,437355,node-19,action,start,1096995511,1,boot  (command 3169),E4,boot (command <*>)
46,47,20797,node-188,action,start,1100785975,1,boot  (command 3317),E4,boot (command <*>)
47,48,32761,node-17,action,start,1102475613,1,wait  (command 3334),E45,wait (command <*>)
48,49,70287,node-70,action,start,1108647096,1,wait  (command 3412),E45,wait (command <*>)
49,50,70708,node-115,action,start,1108647304,1,boot  (command 3413),E4,boot (command <*>)
50,51,112147,node-82,action,start,1111072078,1,boot  (command 3473),E4,boot (command <*>)
51,52,164990,node-114,action,start,1114095917,1,boot  (command 3572),E4,boot (command <*>)
52,53,165357,node-246,action,start,1114095982,1,boot  (command 3580),E4,boot (command <*>)
53,54,210411,node-40,action,start,1116601982,1,wait  (command 3609),E45,wait (command <*>)
54,55,211063,node-18,action,start,1116604606,1,boot  (command 3624),E4,boot (command <*>)
55,56,213303,node-83,action,start,1116611976,1,boot  (command 3639),E4,boot (command <*>)
56,57,252602,node-145,action,start,1118929116,1,boot  (command 3696),E4,boot (command <*>)
57,58,173915,node-59,action,start,1131220838,1,boot  (command 3951),E4,boot (command <*>)
58,59,193032,node-46,action,start,1131241563,1,wait  (command 3973),E45,wait (command <*>)
59,60,194265,node-186,action,start,1131242308,1,wait  (command 3981),E45,wait (command <*>)
60,61,194301,node-185,action,start,1131242355,1,wait  (command 3981),E45,wait (command <*>)
61,62,220288,node-194,action,start,1132159257,1,boot  (command 4024),E4,boot (command <*>)
62,63,288620,node-150,action,start,1134671414,1,wait  (command 4061),E45,wait (command <*>)
63,64,329026,node-111,action,start,1140100216,1,wait  (command 4110),E45,wait (command <*>)
64,65,328665,node-234,action,start,1140100074,1,boot  (command 4118),E4,boot (command <*>)
65,66,328095,node-194,action,start,1140099718,1,wait  (command 4117),E45,wait (command <*>)
66,67,374387,node-116,action,start,1141676760,1,wait  (command 4145),E45,wait (command <*>)
67,68,397088,node-148,action,start,1142527921,1,boot  (command 4176),E4,boot (command <*>)
68,69,397742,node-56,action,start,1142528184,1,boot  (command 4170),E4,boot (command <*>)
69,70,460486,node-181,action,start,1145552039,1,boot  (command 4223),E4,boot (command <*>)
70,71,460596,node-143,action,start,1145552056,1,wait  (command 4221),E45,wait (command <*>)
71,72,461572,node-116,action,start,1145552379,1,wait  (command 4219),E45,wait (command <*>)
72,73,247935,2568,boot_cmd,success,1079049124,1,Command has completed successfully,E12,Command has completed successfully
73,74,301526,2797,boot_cmd,success,1081993794,1,Command has completed successfully,E12,Command has completed successfully
74,75,2599217,1973,boot_cmd,new,1074297389,1,Targeting domains:node-D4 and nodes:node-[136-159] child of command 1964,E42,Targeting domains:node-<*> and nodes:node-[<*>-<*>] child of command <*>
75,76,210240,2490,boot_cmd,new,1078453922,1,Targeting domains:node-D0 and nodes:node-[8-31] child of command 2489,E42,Targeting domains:node-<*> and nodes:node-[<*>-<*>] child of command <*>
76,77,276415,3709,boot_cmd,new,1119845316,1,Targeting domains:node-D2 and nodes:node-84,E43,Targeting domains:node-<*> nodes:node-<*>
77,78,341834,node-118,node,psu,1140312091,1,psu failure\ ambient=28,E35,psu failure\ ambient=<*>
78,79,347972,node-118,node,psu,1140430530,1,psu failure\ ambient=31,E35,psu failure\ ambient=<*>
79,80,147394,Interconnect-0N00,switch_module,temphigh,1129812510,1,Temperature (41C) exceeds warning threshold,E44,Temperature (<*>) exceeds warning threshold
80,81,2609055,node-D7,clusterfilesystem,clusterfilesystem.no_server,1074464654,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1412,E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
81,82,32255,node-D7,clusterfilesystem,clusterfilesystem.no_server,1076398960,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage934,E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
82,83,57709,node-D0,clusterfilesystem,clusterfilesystem.no_server,1076864348,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage444,E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
83,84,400170,node-D7,clusterfilesystem,clusterfilesystem.no_server,1089893907,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1331,E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
84,85,399288,node-D0,clusterfilesystem,clusterfilesystem.no_server,1089893729,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage742,E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
85,86,399278,node-D0,clusterfilesystem,clusterfilesystem.no_server,1089893727,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage221,E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
86,87,68757,node-D0,clusterfilesystem,clusterfilesystem.no_server,1108645899,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage742,E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
87,88,69243,node-D7,clusterfilesystem,clusterfilesystem.no_server,1108646021,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1231,E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
88,89,110887,node-D7,clusterfilesystem,clusterfilesystem.no_server,1111067897,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1311,E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
89,90,220014,node-D0,clusterfilesystem,clusterfilesystem.no_server,1132158358,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage132,E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
90,91,286137,node-D0,clusterfilesystem,clusterfilesystem.no_server,1134669644,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage832,E10,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
91,92,365140,node-69,unix.hw,net.niff.down,1085075228,1,NIFF: node node-69 detected a failed network connection on network 5.5.224.0 via interface alt0,E27,NIFF: node node-<*> detected a failed network connection on network <*> via interface alt0
92,93,401608,node-162,unix.hw,net.niff.down,1142550442,1,NIFF: node node-162 detected a failed network connection on network 5.5.224.0 via interface alt0,E27,NIFF: node node-<*> detected a failed network connection on network <*> via interface alt0
93,94,289739,Interconnect-0N00,switch_module,fan,1121303273,1,Fan speeds ( 3552 3534 3375 4245 3515 3479 ),E18,Fan speeds ( <*> <*> <*> <*> <*> <*> )
94,95,37743,Interconnect-0N00,switch_module,fan,1125827345,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
95,96,37524,Interconnect-0N00,switch_module,fan,1125819002,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
96,97,35581,Interconnect-0N00,switch_module,fan,1125706262,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
97,98,34204,Interconnect-0N00,switch_module,fan,1125664672,1,Fan speeds ( 3552 3534 3375 4470 3515 3479 ),E18,Fan speeds ( <*> <*> <*> <*> <*> <*> )
98,99,33385,Interconnect-0N00,switch_module,fan,1125557358,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
99,100,45526,Interconnect-0N00,switch_module,fan,1126010284,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
100,101,45232,Interconnect-0N00,switch_module,fan,1125974682,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
101,102,44885,Interconnect-0N00,switch_module,fan,1125968635,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
102,103,44437,Interconnect-0N00,switch_module,fan,1125958618,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
103,104,43807,Interconnect-0N00,switch_module,fan,1125941020,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
104,105,43219,Interconnect-0N00,switch_module,fan,1125938127,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
105,106,42301,Interconnect-0N00,switch_module,fan,1125933864,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
106,107,41142,Interconnect-0N00,switch_module,fan,1125922192,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
107,108,40627,Interconnect-0N00,switch_module,fan,1125915213,1,Fan speeds ( 3552 3534 3375 4166 3515 3479 ),E18,Fan speeds ( <*> <*> <*> <*> <*> <*> )
108,109,104883,Interconnect-0N00,switch_module,fan,1128271267,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
109,110,121157,Interconnect-0N00,switch_module,fan,1129314010,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
110,111,120348,Interconnect-0N00,switch_module,fan,1129295109,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
111,112,119213,Interconnect-0N00,switch_module,fan,1129157128,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
112,113,119142,Interconnect-0N00,switch_module,fan,1129155779,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
113,114,119082,Interconnect-0N00,switch_module,fan,1129155045,1,Fan speeds ( 3552 3534 3375 4530 3515 3479 ),E18,Fan speeds ( <*> <*> <*> <*> <*> <*> )
114,115,118806,Interconnect-0N00,switch_module,fan,1129150679,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
115,116,116927,Interconnect-0N00,switch_module,fan,1128899272,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
116,117,116705,Interconnect-0N00,switch_module,fan,1128888604,1,Fan speeds ( 3552 3534 3375 4192 3515 3479 ),E18,Fan speeds ( <*> <*> <*> <*> <*> <*> )
117,118,116664,Interconnect-0N00,switch_module,fan,1128887986,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
118,119,259847,Interconnect-0N00,switch_module,fan,1133182195,1,Fan speeds ( 3552 3534 3391 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
119,120,259180,Interconnect-0N00,switch_module,fan,1133174442,1,Fan speeds ( 3552 3534 3391 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
120,121,259133,Interconnect-0N00,switch_module,fan,1133174185,1,Fan speeds ( 3552 3534 3391 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
121,122,258413,Interconnect-0N00,switch_module,fan,1133169111,1,Fan speeds ( 3552 3534 3391 **** 3515 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
122,123,349086,Interconnect-0N00,switch_module,fan,1140616724,1,Fan speeds ( 3552 3552 3391 **** 3515 3497 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
123,124,349016,Interconnect-0N00,switch_module,fan,1140616395,1,Fan speeds ( 3552 3552 3391 **** 3515 3497 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
124,125,379641,Interconnect-0N00,switch_module,fan,1141828195,1,Fan speeds ( 3534 3534 3375 4470 3497 3479 ),E18,Fan speeds ( <*> <*> <*> <*> <*> <*> )
125,126,442494,Interconnect-0N00,switch_module,fan,1143993115,1,Fan speeds ( 3534 3534 3375 **** 3497 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
126,127,442338,Interconnect-0N00,switch_module,fan,1143991258,1,Fan speeds ( 3534 3534 3375 **** 3497 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
127,128,442189,Interconnect-0N00,switch_module,fan,1143988225,1,Fan speeds ( 3534 3534 3375 **** 3497 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
128,129,441254,Interconnect-0N00,switch_module,fan,1143979871,1,Fan speeds ( 3534 3534 3375 **** 3497 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
129,130,441208,Interconnect-0N00,switch_module,fan,1143979502,1,Fan speeds ( 3534 3534 3375 **** 3497 3479 ),E17,Fan speeds ( <*> <*> <*> **** <*> <*> )
130,131,30700,Interconnect-1T00,switch_module,bcast-error,1076189965,1,Link error,E21,Link error
131,132,259323,Interconnect-1T00,switch_module,bcast-error,1079076297,1,Link error,E21,Link error
132,133,285855,Interconnect-1T00,switch_module,bcast-error,1080298218,1,Link in reset,E24,Link in reset
133,134,288385,Interconnect-0T00,switch_module,bcast-error,1080668603,1,Link error,E21,Link error
134,135,293098,Interconnect-1T00,switch_module,bcast-error,1081296321,1,Link error,E21,Link error
135,136,323647,Interconnect-1T00,switch_module,bcast-error,1083198788,1,Link ok,E25,Link ok
136,137,408176,Interconnect-1T00,switch_module,bcast-error,1142743438,1,Link error on broadcast tree Interconnect-1T00:00:2:0,E22,Link error on broadcast tree Interconnect-<*>
137,138,191911,node-D4,clusterfilesystem,fdmn.full,1077949575,1,ServerFileSystem: ServerFileSystem domain root14_local is full,E40,ServerFileSystem: ServerFileSystem domain <*> is full
138,139,280513,node-D0,clusterfilesystem,fdmn.full,1079715693,1,ServerFileSystem: ServerFileSystem domain root10_local is full,E40,ServerFileSystem: ServerFileSystem domain <*> is full
139,140,284487,node-D3,clusterfilesystem,fdmn.full,1080155118,1,ServerFileSystem: ServerFileSystem domain root22_local is full,E40,ServerFileSystem: ServerFileSystem domain <*> is full
