,LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
0,1,Jun,14,15:16:01,combo,sshd(pam_unix),19939.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
1,2,Jun,15,02:04:59,combo,sshd(pam_unix),20893.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
2,3,Jun,15,02:04:59,combo,sshd(pam_unix),20896.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
3,4,Jun,15,02:04:59,combo,sshd(pam_unix),20897.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
4,5,Jun,15,02:04:59,combo,sshd(pam_unix),20898.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
5,6,Jun,15,04:12:42,combo,su(pam_unix),22644.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
6,7,Jun,15,04:12:43,combo,su(pam_unix),22644.0,session closed for user news,E101,session closed for user <*>
7,8,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,check pass; user unknown,E27,check pass; user unknown
8,9,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
9,10,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
10,11,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,check pass; user unknown,E27,check pass; user unknown
11,12,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
12,13,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
13,14,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,check pass; user unknown,E27,check pass; user unknown
14,15,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,check pass; user unknown,E27,check pass; user unknown
15,16,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
16,17,Jun,15,12:12:34,combo,sshd(pam_unix),23403.0,check pass; user unknown,E27,check pass; user unknown
17,18,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
18,19,Jun,15,12:12:34,combo,sshd(pam_unix),23403.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
19,20,Jun,15,12:12:34,combo,sshd(pam_unix),23412.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
20,21,Jun,15,12:13:19,combo,sshd(pam_unix),23414.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
21,22,Jun,15,12:13:20,combo,sshd(pam_unix),23416.0,check pass; user unknown,E27,check pass; user unknown
22,23,Jun,15,14:53:32,combo,sshd(pam_unix),23661.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
23,24,Jun,15,14:53:32,combo,sshd(pam_unix),23663.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
24,25,Jun,15,14:53:32,combo,sshd(pam_unix),23664.0,check pass; user unknown,E27,check pass; user unknown
25,26,Jun,15,14:53:33,combo,sshd(pam_unix),23665.0,check pass; user unknown,E27,check pass; user unknown
26,27,Jun,15,14:53:34,combo,sshd(pam_unix),23669.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
27,28,Jun,15,14:53:35,combo,sshd(pam_unix),23671.0,check pass; user unknown,E27,check pass; user unknown
28,29,Jun,15,14:53:35,combo,sshd(pam_unix),23671.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
29,30,Jun,15,14:53:35,combo,sshd(pam_unix),23673.0,check pass; user unknown,E27,check pass; user unknown
30,31,Jun,15,14:53:35,combo,sshd(pam_unix),23674.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
31,32,Jun,15,14:53:36,combo,sshd(pam_unix),23677.0,check pass; user unknown,E27,check pass; user unknown
32,33,Jun,15,20:05:31,combo,sshd(pam_unix),24138.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
33,34,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,check pass; user unknown,E27,check pass; user unknown
34,35,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
35,36,Jun,15,20:05:31,combo,sshd(pam_unix),24140.0,check pass; user unknown,E27,check pass; user unknown
36,37,Jun,15,20:05:31,combo,sshd(pam_unix),24139.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
37,38,Jun,16,04:16:18,combo,su(pam_unix),25548.0,session closed for user news,E101,session closed for user <*>
38,39,Jun,17,04:03:33,combo,su(pam_unix),27953.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
39,40,Jun,17,04:03:34,combo,su(pam_unix),27953.0,session closed for user cyrus,E101,session closed for user <*>
40,41,Jun,17,04:09:43,combo,su(pam_unix),29190.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
41,42,Jun,17,04:09:45,combo,su(pam_unix),29190.0,session closed for user news,E101,session closed for user <*>
42,43,Jun,17,07:07:00,combo,ftpd,29504.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
43,44,Jun,17,07:07:00,combo,ftpd,29507.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
44,45,Jun,17,07:07:00,combo,ftpd,29505.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
45,46,Jun,17,07:07:00,combo,ftpd,29506.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
46,47,Jun,17,07:07:04,combo,ftpd,29511.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,E29,connection from <*> (<*>) at <*>
47,48,Jun,17,20:29:26,combo,sshd(pam_unix),30631.0,session opened for user test by (uid=509),E102,session opened for user <*> by (uid=<*>)
48,49,Jun,17,20:55:06,combo,ftpd,30755.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
49,50,Jun,17,20:55:06,combo,ftpd,30754.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
50,51,Jun,17,20:55:06,combo,ftpd,30753.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
51,52,Jun,17,20:55:06,combo,ftpd,30756.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
52,53,Jun,17,20:55:06,combo,ftpd,30757.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
53,54,Jun,18,01:30:59,combo,sshd(pam_unix),31201.0,check pass; user unknown,E27,check pass; user unknown
54,55,Jun,18,01:30:59,combo,sshd(pam_unix),31199.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
55,56,Jun,18,01:30:59,combo,sshd(pam_unix),31198.0,check pass; user unknown,E27,check pass; user unknown
56,57,Jun,18,01:30:59,combo,sshd(pam_unix),31198.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
57,58,Jun,18,01:30:59,combo,sshd(pam_unix),31205.0,check pass; user unknown,E27,check pass; user unknown
58,59,Jun,18,01:30:59,combo,sshd(pam_unix),31206.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
59,60,Jun,18,01:30:59,combo,sshd(pam_unix),31204.0,check pass; user unknown,E27,check pass; user unknown
60,61,Jun,18,01:30:59,combo,sshd(pam_unix),31204.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
61,62,Jun,18,01:30:59,combo,sshd(pam_unix),31207.0,check pass; user unknown,E27,check pass; user unknown
62,63,Jun,18,02:08:10,combo,ftpd,31273.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
63,64,Jun,18,02:08:10,combo,ftpd,31275.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
64,65,Jun,18,02:08:10,combo,ftpd,31276.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
65,66,Jun,18,02:08:10,combo,ftpd,31278.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
66,67,Jun,18,02:08:11,combo,ftpd,31280.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
67,68,Jun,18,02:08:11,combo,ftpd,31283.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
68,69,Jun,18,02:08:12,combo,ftpd,31284.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E29,connection from <*> (<*>) at <*>
69,70,Jun,18,02:08:12,combo,ftpd,31285.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E29,connection from <*> (<*>) at <*>
70,71,Jun,18,04:07:06,combo,su(pam_unix),31791.0,session closed for user cyrus,E101,session closed for user <*>
71,72,Jun,18,04:12:42,combo,su(pam_unix),32164.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
72,73,Jun,18,04:12:43,combo,su(pam_unix),32164.0,session closed for user news,E101,session closed for user <*>
73,74,Jun,19,04:09:11,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [<*>]
74,75,Jun,19,04:15:18,combo,su(pam_unix),3676.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
75,76,Jun,20,03:40:59,combo,ftpd,8829.0,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>
76,77,Jun,20,03:40:59,combo,ftpd,8824.0,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>
77,78,Jun,20,03:40:59,combo,ftpd,8833.0,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>
78,79,Jun,20,03:40:59,combo,ftpd,8825.0,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>
79,80,Jun,20,03:40:59,combo,ftpd,8830.0,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>
80,81,Jun,20,04:02:55,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [<*>]
81,82,Jun,20,04:08:38,combo,su(pam_unix),9558.0,session closed for user news,E101,session closed for user <*>
82,83,Jun,20,09:20:05,combo,sshd(pam_unix),10035.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
83,84,Jun,20,09:20:05,combo,sshd(pam_unix),10039.0,check pass; user unknown,E27,check pass; user unknown
84,85,Jun,20,09:20:05,combo,sshd(pam_unix),10039.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
85,86,Jun,20,09:20:07,combo,sshd(pam_unix),10043.0,check pass; user unknown,E27,check pass; user unknown
86,87,Jun,20,09:20:07,combo,sshd(pam_unix),10043.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
87,88,Jun,20,09:20:07,combo,sshd(pam_unix),10047.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
88,89,Jun,20,09:20:07,combo,sshd(pam_unix),10049.0,check pass; user unknown,E27,check pass; user unknown
89,90,Jun,20,09:20:07,combo,sshd(pam_unix),10049.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
90,91,Jun,20,09:20:08,combo,sshd(pam_unix),10051.0,check pass; user unknown,E27,check pass; user unknown
91,92,Jun,20,09:20:08,combo,sshd(pam_unix),10051.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
92,93,Jun,21,04:13:03,combo,su(pam_unix),13327.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
93,94,Jun,21,04:13:04,combo,su(pam_unix),13327.0,session closed for user news,E101,session closed for user <*>
94,95,Jun,21,08:56:36,combo,sshd(pam_unix),14281.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,E17,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
95,96,Jun,21,08:56:36,combo,sshd(pam_unix),14279.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,E17,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
96,97,Jun,21,08:56:36,combo,sshd(pam_unix),14282.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,E17,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
97,98,Jun,21,08:56:36,combo,sshd(pam_unix),14277.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,E17,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
98,99,Jun,22,03:17:26,combo,sshd(pam_unix),16206.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
