,LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate
0,1,-,1131566461,2005.11.09,dn228,Nov,9,12:01:01,dn228/dn228,crond(pam_unix),2915.0,session closed for user root,E117,session closed for user <*>
1,2,-,1131566461,2005.11.09,dn228,Nov,9,12:01:01,dn228/dn228,crond,2916.0,(root) CMD (run-parts /etc/cron.hourly),E3,(<*>) CMD (run-parts <*>)
2,3,-,1131566461,2005.11.09,dn261,Nov,9,12:01:01,dn261/dn261,crond(pam_unix),2907.0,session closed for user root,E117,session closed for user <*>
3,4,-,1131566461,2005.11.09,dn261,Nov,9,12:01:01,dn261/dn261,crond,2908.0,(root) CMD (run-parts /etc/cron.hourly),E3,(<*>) CMD (run-parts <*>)
4,5,-,1131566461,2005.11.09,dn3,Nov,9,12:01:01,dn3/dn3,crond(pam_unix),2907.0,session closed for user root,E117,session closed for user <*>
5,6,-,1131566461,2005.11.09,dn3,Nov,9,12:01:01,dn3/dn3,crond(pam_unix),2907.0,session opened for user root by (uid=0),E118,session opened for user <*> by (uid=<*>)
6,7,-,1131566461,2005.11.09,dn596,Nov,9,12:01:01,dn596/dn596,crond,2728.0,(root) CMD (run-parts /etc/cron.hourly),E3,(<*>) CMD (run-parts <*>)
7,8,-,1131566461,2005.11.09,dn73,Nov,9,12:01:01,dn73/dn73,crond(pam_unix),2917.0,session opened for user root by (uid=0),E118,session opened for user <*> by (uid=<*>)
8,9,-,1131566461,2005.11.09,dn731,Nov,9,12:01:01,dn731/dn731,crond(pam_unix),2916.0,session closed for user root,E117,session closed for user <*>
9,10,-,1131566461,2005.11.09,dn754,Nov,9,12:01:01,dn754/dn754,crond(pam_unix),2913.0,session closed for user root,E117,session closed for user <*>
10,11,-,1131566461,2005.11.09,dn754,Nov,9,12:01:01,dn754/dn754,crond(pam_unix),2913.0,session opened for user root by (uid=0),E118,session opened for user <*> by (uid=<*>)
11,12,-,1131566461,2005.11.09,dn978,Nov,9,12:01:01,dn978/dn978,crond(pam_unix),2920.0,session closed for user root,E117,session closed for user <*>
12,13,-,1131566461,2005.11.09,dn978,Nov,9,12:01:01,dn978/dn978,crond(pam_unix),2920.0,session opened for user root by (uid=0),E118,session opened for user <*> by (uid=<*>)
13,14,-,1131566461,2005.11.09,eadmin2,Nov,9,12:01:01,src@eadmin2,crond(pam_unix),12636.0,session closed for user root,E117,session closed for user <*>
14,15,-,1131566461,2005.11.09,en257,Nov,9,12:01:01,en257/en257,crond(pam_unix),8950.0,session closed for user root,E117,session closed for user <*>
15,16,-,1131566461,2005.11.09,en257,Nov,9,12:01:01,en257/en257,crond(pam_unix),8950.0,session opened for user root by (uid=0),E118,session opened for user <*> by (uid=<*>)
16,17,-,1131566461,2005.11.09,en74,Nov,9,12:01:01,en74/en74,crond(pam_unix),3080.0,session opened for user root by (uid=0),E118,session opened for user <*> by (uid=<*>)
17,18,-,1131566461,2005.11.09,en74,Nov,9,12:01:01,en74/en74,crond,3081.0,(root) CMD (run-parts /etc/cron.hourly),E3,(<*>) CMD (run-parts <*>)
18,19,-,1131566461,2005.11.09,tbird-admin1,Nov,9,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A8] datasource,E32,data_thread() got not answer from any [<*>] datasource
19,20,-,1131566463,2005.11.09,cn142,Nov,9,12:01:03,cn142/cn142,ntpd,7467.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
20,21,-,1131566463,2005.11.09,dn736,Nov,9,12:01:03,dn736/dn736,ntpd,1119.0,"synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
21,22,-,1131566463,2005.11.09,tbird-admin1,Nov,9,12:01:03,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B7] datasource,E32,data_thread() got not answer from any [<*>] datasource
22,23,-,1131566467,2005.11.09,cn46,Nov,9,12:01:07,cn46/cn46,ntpd,15291.0,"synchronized to 10.100.16.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
23,24,-,1131566467,2005.11.09,tbird-admin1,Nov,9,12:01:07,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A4] datasource,E32,data_thread() got not answer from any [<*>] datasource
24,25,-,1131566467,2005.11.09,tbird-admin1,Nov,9,12:01:07,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B4] datasource,E32,data_thread() got not answer from any [<*>] datasource
25,26,-,1131566468,2005.11.09,tbird-admin1,Nov,9,12:01:08,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C8] datasource,E32,data_thread() got not answer from any [<*>] datasource
26,27,-,1131566470,2005.11.09,bn441,Nov,9,12:01:10,bn441/bn441,ntpd,28489.0,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
27,28,-,1131566470,2005.11.09,cn661,Nov,9,12:01:10,cn661/cn661,ntpd,18505.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
28,29,-,1131566470,2005.11.09,tbird-sm1,Nov,9,12:01:10,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
29,30,-,1131566471,2005.11.09,dn393,Nov,9,12:01:11,dn393/dn393,ntpd,4696.0,"synchronized to 10.100.26.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
30,31,-,1131566472,2005.11.09,tbird-admin1,Nov,9,12:01:12,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B3] datasource,E32,data_thread() got not answer from any [<*>] datasource
31,32,-,1131566473,2005.11.09,cn379,Nov,9,12:01:13,cn379/cn379,ntpd,10573.0,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
32,33,-,1131566474,2005.11.09,cn925,Nov,9,12:01:14,cn925/cn925,ntpd,29072.0,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
33,34,-,1131566474,2005.11.09,tbird-sm1,Nov,9,12:01:14,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:<*>]: No topology change
34,35,-,1131566474,2005.11.09,tbird-sm1,Nov,9,12:01:14,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:<*>]: No configuration change required
35,36,-,1131566475,2005.11.09,tbird-admin1,Nov,9,12:01:15,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A1] datasource,E32,data_thread() got not answer from any [<*>] datasource
36,37,-,1131566475,2005.11.09,tbird-admin1,Nov,9,12:01:15,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C2] datasource,E32,data_thread() got not answer from any [<*>] datasource
37,38,-,1131566477,2005.11.09,cn543,Nov,9,12:01:17,cn543/cn543,ntpd,13785.0,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
38,39,-,1131566477,2005.11.09,tbird-admin1,Nov,9,12:01:17,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A3] datasource,E32,data_thread() got not answer from any [<*>] datasource
39,40,-,1131566478,2005.11.09,cn551,Nov,9,12:01:18,cn551/cn551,ntpd,15308.0,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
40,41,-,1131566478,2005.11.09,dn360,Nov,9,12:01:18,dn360/dn360,ntpd,30984.0,"synchronized to 10.100.28.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
41,42,-,1131566479,2005.11.09,#8#,Nov,9,12:01:19,#8#/#8#,sshd,19023.0,Local disconnected: Connection closed.,E67,Local disconnected: Connection closed.
42,43,-,1131566480,2005.11.09,dn77,Nov,9,12:01:20,dn77/dn77,ntpd,9978.0,"synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
43,44,-,1131566482,2005.11.09,tbird-admin1,Nov,9,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B2] datasource,E32,data_thread() got not answer from any [<*>] datasource
44,45,-,1131566482,2005.11.09,tbird-admin1,Nov,9,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C1] datasource,E32,data_thread() got not answer from any [<*>] datasource
45,46,-,1131566482,2005.11.09,tbird-admin1,Nov,9,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_D7] datasource,E32,data_thread() got not answer from any [<*>] datasource
46,47,-,1131566484,2005.11.09,tbird-sm1,Nov,9,12:01:24,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
47,48,-,1131566485,2005.11.09,tbird-admin1,Nov,9,12:01:25,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_D6] datasource,E32,data_thread() got not answer from any [<*>] datasource
48,49,-,1131566486,2005.11.09,tbird-admin1,Nov,9,12:01:26,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B5] datasource,E32,data_thread() got not answer from any [<*>] datasource
