,LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate
0,1,2015-07-29,"19:04:29,071",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread
1,2,2015-07-29,"19:13:17,524",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread
2,3,2015-07-29,"19:13:24,370",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:57707,E40,Received connection request <*>:<*>
3,4,2015-07-29,"19:13:44,301",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread
4,5,2015-07-29,"19:13:47,731",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error ="
5,6,2015-07-29,"19:13:54,220",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45382,E40,Received connection request <*>:<*>
6,7,2015-07-29,"19:14:07,653",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread
7,8,2015-07-29,"19:14:47,593",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker
8,9,2015-07-29,"19:14:54,354",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread
9,10,2015-07-29,"19:15:24,476",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
10,11,2015-07-29,"19:15:57,854",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:57895,E40,Received connection request <*>:<*>
11,12,2015-07-29,"19:16:04,412",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
12,13,2015-07-29,"19:16:04,414",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
13,14,2015-07-29,"19:16:14,520",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
14,15,2015-07-29,"19:16:27,865",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread
15,16,2015-07-29,"19:16:44,440",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.12:47727,E40,Received connection request <*>:<*>
16,17,2015-07-29,"19:16:57,707",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
